,Equal Weight,Minimum Variance,Maximum Sharpe,Risk Parity
92,0.012724648259730159,0.01699829393676438,0.04300954846712611,0.012408258871506109
93,0.026839195913060526,0.06970194167033462,0.7252265977602911,0.017542795058026056
94,0.017198616600879763,0.1367109117110252,0.7989842343988864,0.04381185728861825
95,0.022592113476982534,0.11397838655407638,0.10504714755721442,0.08115859377907501
96,0.018067106652450926,0.08789282036416264,0.33360664806185963,0.024471235335620414
97,0.030762427427689004,0.04147197226631195,0.01602150095355391,0.012861483544436267
98,0.01995228067377311,0.0620167068314056,0.31096267412795614,0.03829163445417022
99,0.02350353361626578,0.05030826789383115,0.054983550012145076,0.05265725886856326
100,0.013183376178923095,0.054079829710596716,0.3204415403910126,0.013975954113934486
101,0.016163977044401978,0.09034719385537415,0.6033975907306164,0.0318526214333842
102,0.023974276493793967,0.04688077776836036,0.34506807249465626,0.024259461655766854
103,0.05151263091850397,0.22547904796095983,0.5847596099014067,0.051582148479505166
104,0.014115191802080318,0.06605812853561778,0.06125290932171098,0.015722387606277227
105,0.03366723220018211,0.10272744636504647,0.07320322656496227,0.053563627846164044
106,0.03616846656775169,0.16394315346226582,0.21645980347272814,0.06795616405274926
107,0.01542502319661715,0.05431291531772413,0.09677902648902006,0.02100229478662212
108,0.030727550002841164,0.15834742372048619,0.2984505271804499,0.05281226881926504
109,0.01625945425101627,0.0485843558552932,0.3078199062488446,0.024557161311008116
110,0.053301770503319884,0.0641564107704723,0.5080619816872428,0.02998485018474714
111,0.04139120734908683,0.35229229181707283,0.13242850632338354,0.0992200694721482
112,0.04260693470131488,0.07314129343816148,0.23945218536588972,0.05981959575096071
113,0.013040918778001453,0.022841639152637497,0.14458747073770892,0.026548819166070728
114,0.022432397854600966,0.03245974505531853,0.14417785029225327,0.024524323590238012
115,0.013252906894166416,0.0023006023059180913,0.5985364227715666,0.02081681286570923
116,0.019601789255604518,0.02179627628644793,0.01787275796224495,0.0307987442182501
117,0.02951264639097842,0.0601482891630228,0.11564095684594997,0.04314571465743908
118,0.013771347737596529,0.20591590910398427,0.07851403660581023,0.0633306558955996
