Date,SPY,QQQ,IWM,TLT,GLD,VNQ,EFA
2015-10-08,201.21,105.99,115.51,121.96,109.14,79.12,60.94
2015-10-09,201.33,106.47,115.74,122.28,110.87,78.99,61.05
2015-10-12,201.52,106.73,115.57,123.21,111.31,79.55,60.93
2015-10-13,200.25,106.04,113.99,123.42,111.86,78.93,60.16
2015-10-14,199.29,105.87,112.87,124.5,113.81,78.34,60.28
2015-10-15,202.35,107.61,115.57,123.89,113.29,79.41,61.31
2015-10-16,203.27,108.06,115.42,123.93,112.49,80.01,61.26
2015-10-19,203.37,108.68,115.64,123.59,112.02,81.13,61.05
2015-10-20,203.11,108.12,115.48,122.83,112.73,81.1,60.8
2015-10-21,201.85,107.46,113.72,124.05,111.73,80.8,60.77
2015-10-22,205.26,109.65,114.72,124.26,111.69,81.51,61.45
2015-10-23,207.51,112.72,115.85,123.2,111.5,80.72,62.06
2015-10-26,207.0,112.79,115.06,124.02,111.43,80.7,61.83
2015-10-27,206.6,113.02,113.8,124.33,111.68,80.67,61.29
2015-10-28,208.95,113.96,117.12,123.83,110.78,80.74,61.69
2015-10-29,208.83,113.78,115.87,121.86,109.72,80.63,61.24
2015-10-30,207.93,113.27,115.34,122.78,109.3,79.89,61.11
2015-11-02,210.39,114.55,117.74,121.95,108.59,81.59,61.69
2015-11-03,211.0,114.95,118.35,120.95,106.98,80.77,61.67
2015-11-04,210.36,114.96,118.29,121.09,105.97,80.41,61.33
2015-11-05,210.15,114.65,118.38,120.77,105.64,80.73,61.22
2015-11-06,210.04,114.73,119.22,119.0,104.1,78.22,60.94
2015-11-09,208.08,113.51,117.82,118.33,104.4,76.88,60.31
2015-11-10,208.56,113.22,118.17,118.68,104.18,77.76,60.27
2015-11-11,207.74,113.08,117.14,118.43,103.83,77.85,60.58
2015-11-12,204.84,111.98,114.9,119.0,103.85,77.32,59.79
2015-11-13,202.54,109.78,114.07,119.68,103.56,76.44,59.29
2015-11-16,205.62,111.36,115.05,119.57,103.71,77.32,60.04
2015-11-17,205.47,111.43,114.61,119.77,102.34,77.32,60.2
2015-11-18,208.73,113.57,116.55,120.02,102.43,78.0,60.75
2015-11-19,208.55,113.65,116.06,120.82,103.56,78.24,61.06
2015-11-20,209.31,114.42,116.81,120.45,103.09,79.22,60.92
2015-11-23,209.07,114.09,117.39,120.82,102.26,79.39,60.54
2015-11-24,209.35,113.99,118.25,120.81,102.94,78.97,60.55
2015-11-25,209.32,114.09,119.17,121.09,102.46,79.29,60.69
2015-11-27,209.56,114.25,119.62,120.97,101.25,79.98,60.7
2015-11-30,208.69,113.96,119.1,121.45,101.92,79.39,60.65
2015-12-01,210.68,115.1,119.89,122.83,102.28,80.49,61.29
2015-12-02,208.53,114.39,118.6,122.87,100.69,78.85,60.64
2015-12-03,205.61,112.45,116.6,119.53,101.76,77.61,60.35
2015-12-04,209.62,115.08,117.78,120.58,104.02,79.09,60.84
2015-12-07,208.35,114.56,116.01,121.75,102.67,78.87,60.45
2015-12-08,206.95,114.57,115.37,121.81,102.84,78.8,59.56
2015-12-09,205.34,112.83,114.08,121.68,102.64,78.36,59.29
2015-12-10,205.87,113.34,114.46,121.84,102.55,77.8,59.3
2015-12-11,201.88,110.73,111.91,123.76,103.11,77.66,58.17
2015-12-14,202.9,111.57,111.11,122.16,101.79,78.02,58.26
2015-12-15,205.03,112.25,112.71,121.44,101.52,78.87,58.55
2015-12-16,208.03,113.92,114.43,121.18,102.75,80.41,59.73
2015-12-17,204.86,112.26,113.21,122.55,100.5,80.01,58.97
2015-12-18,200.02,109.77,111.48,123.23,102.04,79.08,58.35
2015-12-21,201.67,110.99,112.32,123.2,103.15,79.39,58.11
2015-12-22,203.5,111.72,113.35,122.31,102.61,79.71,58.55
2015-12-23,206.02,112.55,114.78,121.39,102.31,79.42,59.53
2015-12-24,205.68,112.53,114.5,121.83,103.05,79.42,59.43
2015-12-28,205.21,112.47,113.97,122.19,102.27,79.86,59.29
2015-12-29,207.4,114.24,115.2,120.16,102.2,80.71,59.88
2015-12-30,205.93,113.21,114.04,120.04,101.42,80.43,59.52
2015-12-31,203.87,111.8,112.62,120.58,101.46,79.73,58.72
2016-01-04,201.02,109.44,110.01,121.45,102.89,78.77,57.82
2016-01-05,201.36,109.25,110.25,120.96,103.18,80.29,57.73
2016-01-06,198.82,108.2,108.57,122.59,104.67,80.07,56.78
2016-01-07,194.05,104.81,105.67,122.81,106.15,78.51,55.6
2016-01-08,191.92,103.96,103.85,123.36,105.68,77.46,54.93
2016-01-11,192.11,104.28,103.4,122.01,104.74,77.9,55.16
2016-01-12,193.66,105.48,103.71,123.77,104.21,77.38,55.42
2016-01-13,188.83,101.85,100.38,124.99,104.72,76.27,54.56
2016-01-14,191.93,104.02,101.77,123.82,103.02,76.09,55.26
2016-01-15,187.81,100.79,100.12,125.75,104.08,75.57,53.26
2016-01-19,188.06,101.01,98.77,125.36,103.98,75.97,53.75
2016-01-20,185.65,100.7,99.18,126.68,105.37,73.93,52.53
2016-01-21,186.69,100.8,98.95,125.82,105.49,74.34,52.92
2016-01-22,190.52,103.72,101.37,125.34,105.0,76.41,54.48
2016-01-25,187.64,102.18,99.11,126.02,106.08,75.93,53.75
2016-01-26,190.2,103.1,101.1,126.08,107.29,77.52,54.71
2016-01-27,188.13,100.53,99.71,126.05,107.69,76.02,54.36
2016-01-28,189.11,101.95,99.69,126.23,106.54,75.44,54.52
2016-01-29,193.72,104.08,102.96,127.3,106.95,76.99,55.48
2016-02-01,193.65,104.36,102.49,126.67,108.05,77.12,55.42
2016-02-02,190.16,102.1,100.28,129.02,108.09,76.42,54.13
2016-02-03,191.3,101.61,100.41,127.95,109.25,76.93,54.58
2016-02-04,191.6,101.6,100.8,128.57,110.57,76.97,54.65
2016-02-05,187.95,98.07,98.04,128.72,112.32,75.51,53.81
2016-02-08,185.42,96.57,96.43,131.49,113.83,73.35,52.81
2016-02-09,185.43,96.27,95.78,131.63,113.58,72.0,52.2
2016-02-10,185.27,96.64,95.83,132.79,114.46,72.5,52.14
2016-02-11,182.86,96.5,94.79,133.72,119.06,71.47,51.38
2016-02-12,186.63,97.97,96.59,131.5,118.36,72.29,52.28
2016-02-16,189.78,100.18,98.88,130.11,114.77,73.62,53.34
2016-02-17,192.88,102.45,100.43,129.31,115.48,74.25,54.26
2016-02-18,192.09,101.28,99.95,130.9,118.29,75.0,53.98
2016-02-19,192.0,101.58,100.45,131.01,117.58,75.43,53.92
2016-02-22,194.78,103.23,101.57,130.94,115.49,76.15,54.53
2016-02-23,192.32,101.53,100.64,131.47,117.22,75.95,53.64
2016-02-24,193.2,102.5,101.61,131.21,117.61,75.86,53.45
2016-02-25,195.54,103.51,102.54,131.68,117.92,77.41,54.09
2016-02-26,195.09,103.38,103.19,130.41,117.11,77.01,53.95
2016-02-29,193.56,102.45,102.73,130.98,118.64,76.71,53.63
2016-03-01,198.11,105.73,104.94,128.43,117.77,78.87,55.03
2016-03-02,199.0,105.77,106.02,128.96,118.68,79.44,55.41
2016-03-03,199.78,105.57,107.13,129.43,120.73,79.86,55.95
2016-03-04,200.43,105.61,107.72,128.6,120.54,79.87,56.36
2016-03-07,200.59,104.96,108.89,128.56,121.14,80.08,56.29
2016-03-08,198.4,104.1,106.26,129.98,120.58,79.26,55.74
2016-03-09,199.38,104.76,106.8,129.19,119.58,79.7,55.95
2016-03-10,199.54,104.61,105.93,128.66,121.5,79.41,55.86
2016-03-11,202.76,106.43,108.2,127.36,119.41,81.19,57.32
2016-03-14,202.5,106.61,107.92,127.76,117.87,81.2,57.2
